"","Sighted","Reported","Location","Shape","Duration"
"39606",20061025,20061126,"Paphos (Cyprus),","sphere","2 minutes"
"26332",20040526,20040601,"Cancun (Mexico),","other","10 min"
"15168",19961015,20020307,"Milwaukee, WI","triangle","Boy Scouts"
"14253",20001112,20020209,"Russell Springs, KY","formation","2 mins"
"15654",20010311,20020705,"Marana, AZ","chevron","60 seconds"
"60621",20100708,20100710,"Centralia, WA","sphere","10 seconds"
"56175",20090808,20090808,"Chicago, IL","circle","10 seconds"
"55640",20090808,20090808,"Middletown, RI","fireball","0:05"
"45957",20080112,20080113,"Norwalk, CA","triangle","15 seconds"
"55801",20090814,20090816,"Fountain, CO","other","8 minutes"
"31225",20050414,20050415,"Nottingham (UK/England),","unknown","15 minutes"
"15475",19851225,20020330,"Ridgefield, CT","circle","1:00"
"23266",20031113,20031114,"St. Louis, MO","cigar","45 seconds"
"22448",19820705,20031021,"Madison, CT","light","30 mins"
"11803",20010420,20010426,"Columbus, OH","diamond","1 min"
"11072",20010128,20010130,"Orlando, FL","cigar","6:30:45"
"23304",20031111,20031111,"Wewahitchka, FL","other","4-5 seconds"
"13748",20011126,20011125,"Louisville, KY","triangle","4 min"
"49816",20080707,20080707,"Bradford, MA","unknown","1 hour"
"55006",20090618,20090618,"Spokane, WA","sphere","1 minute"
"8321",20000515,20000707,"Harrison, AR","light","3 to 5 min."
"20164",19650202,20030630,"Seattle/Belfair, WA","sphere","2 hours"
"51099",20081030,20081102,"Montgomery, AL","unknown","4 minutes"
"49914",20080704,20080705,"Lackawanna County, PA","triangle","30 minutes"
"37038",20060417,20060418,"Hartford, CT","teardrop","2 minutes"
"33556",20050922,20050922,"Silver City, NM","light","8TO 9 SECONDS"
"56154",20090822,20090822,"San Jose, CA","oval","3 minutes"
"21691",20030908,20030909,"Wichita Falls, TX","sphere","10 MINUTES"
"51481",20081112,20081112,"Los Angeles, CA","disk","3 minutes"
"61331",20050401,20100828,"Wentzville, MO","chevron","1 minute"
"60899",20100711,20100711,"London (UK/England),","changing","2 Minutes"
"33696",20051011,20051014,"Cannock (UK/England),","formation","3 minutes"
"47534",20080328,20080328,"Las Cruces, NM","light","10 minutes"
"32942",19680815,20050807,"Greensboro, NC","disk","2 minutes"
"18377",20021215,20021216,"Suwanee, GA","light","30 - 45 secs."
"17788",20021102,20021102,"Chester, NJ","other","2 minutes"
"59207",20100530,20100531,"Draper, UT","circle","45 min or longer"
"27582",20010921,20040824,"Lahti (Finland),","other","about 10 sec."
"22004",20030915,20031002,"Denver, CO","formation","appox 2 sec"
"54026",20090315,20090315,"Pembroke Pines, FL","unknown","30 mins"
"59095",20100424,20100425,"Austin, TX","light","2 minutes"
"10443",20001124,20001128,"Slough (UK/England),","light","5sec"
